Date,Portfolio_Value,Benchmark_Value
2015-03-31,100000.0,100000.0
2015-04-01,99817.82737608174,100115.52218787136
2015-04-02,100042.28000511449,99995.63839906691
2015-04-06,100102.43327004978,99980.03815322815
2015-04-07,100381.80068537872,100150.18419962323
2015-04-08,100652.04036734354,100278.00787811367
2015-04-09,101310.02884252086,100617.0726804201
2015-04-10,101878.47166762123,101073.70567298496
2015-04-13,101715.28994493354,101071.70910510595
2015-04-14,101367.36330391043,101083.65556713278
2015-04-15,100907.70255949229,100784.82516797993
2015-04-16,100159.32295985246,100409.6507368763
2015-04-17,99761.8984664556,99542.92256709651
2015-04-20,100196.16333118647,99739.71502076882
2015-04-21,100270.54763604049,99674.64623030648
2015-04-22,99976.30212510099,99518.45401059605
2015-04-23,100180.52428973948,99930.69755980956
2015-04-24,100322.20688056269,100112.00240155708
2015-04-27,99858.34181170061,99859.90068186645
2015-04-28,99687.00189807107,99504.60942708598
2015-04-29,99522.7491564673,99343.68309444535
2015-04-30,98713.57506328655,98933.0816729171
2015-05-01,99685.19153179554,99367.24039124827
2015-05-04,99761.388039962,99102.97759213325
2015-05-05,98681.20364412725,98520.82269369293
2015-05-06,97889.68573316399,97956.08533744217
2015-05-07,98398.3434098529,98213.50557202968
2015-05-08,98935.11242205277,98493.04628635776
2015-05-11,99048.9967001997,98715.08390565659
2015-05-12,98556.51618518776,98385.26576266476
2015-05-13,98187.09174602303,98048.25381344097
2015-05-14,99145.27323963775,98272.48712097012
2015-05-15,99845.33568236488,98970.89333789071
2015-05-19,100686.91208847266,99208.6964076547
2015-05-20,100387.0498604009,99085.91594749261
2015-05-21,100889.76327147431,99694.9739707585
2015-05-22,101307.25465351176,99815.75761460193
2015-05-25,101635.141720639,100073.95582432533
2015-05-26,101306.17251647974,99978.01415093418
2015-05-27,102038.78537036724,100637.71857192884
2015-05-28,101600.80993566629,100231.9922704492
2015-05-29,101315.67383601252,100008.82513738915
2015-06-01,101841.92187310857,100228.9145128431
